romaji_title,english_title,native_title,description,genres,episodes,start_date,end_date,average_score,popularity,image_url
Speed Grapher,Speed Grapher,スピードグラファー,"Ten years after the Bubble War, the dichotomy between the rich and the poor in the world becomes more prominent and Japan is no exception. The rich seek to satisfy their desires and derive pleasure for themselves, and Tokyo has materialized into such a city as a result. Saiga, once a war photographer, works for Hibara Ginza in the capitalist state of Tokyo. He infiltrates the Roppongi Club, a secretive base located in the red light district of the city, to collect information about them. However, he was caught in the process and brought forward to a girl called Kagura who was in the midst of a ritual. His contact with Kagura awakens his special ability: the power to make things explode when photographed. In order to unravel the mystery behind the Roppongi Club and Kagura, Saiga begins his solitary battle.","Action, Drama, Ecchi, Mystery, Psychological, Supernatural",24.0,2005-4-8,2005-9-30,68.0,20895,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx198-11hkVkT4h4Im.png
Tenshi na Konamaiki,Tenshi na Konamaiki,天使な小生意気,"Megumi-chan is a girl with a secret past. She used to be a boy until she met a person she thought was a magic user. This person gave him/her a magical book from which a genie appears to grant one wish when blood is applied to it. Megumi made the wish to be a man in a man's body but the genie has a twist: he grants wishes backwards so he turns Megumi-kun aged 9 to Megumi-chan. Years pass and Megumi enters High School where she immediately beats up the school bully who of course falls in love with her. She is looking for that book again to be able to reverse the spell placed upon her.<br><br>
(Source: Anime News Network)","Comedy, Romance, Supernatural",50.0,2002-4-6,2003-3-29,69.0,5223,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx200-xPxQtMoeRfyr.jpg
Wolf's Rain,Wolf's Rain,ウルフズレイン,"In some distant future, it's common knowledge that all wolves have been extinct for 200 years. However, it seems this is false as wolves have not disappeared but rather have taken human form. Kiba, a lone wolf, wanders into a city, trying to sniff out the Lunar Flowers that are supposed to lead whoever follows the scent to paradise. The source of the smell is Cheza, a girl who sleeps in what appears to be suspended animation in a lab. She and the wolves are drawn to each other, and Kiba hopes to find paradise once he finds the source of the scent of Lunar Flowers. However, once Kiba finds Cheza, she is kidnapped by a mysterious person called Darcia, and his search begins anew. Before he leaves the city, he meets 3 other wolves, Tsume, Hige and Toboe. All four wolves have very different personalities and ideas, and their friendliness towards each other is a little rough around the edges. However, they soon band together to continue to search for paradise. <br><br>
(Source: Anime News Network)","Action, Adventure, Drama, Fantasy, Mystery, Sci-Fi",26.0,2003-1-7,2003-7-29,74.0,51719,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx202-w2OLL3j8WmDm.jpg
Yumeria,Yumeria,ゆめりあ,"On his 16th birthday, Tomokazu Mikuri had a realistic dream where he sees a girl battling a giant floating monstrosity. When he wakes up, he is surprised that the girl is actually sleeping next to him... Whenever he sleeps from now on, he ends up back at the dream world, and more and more people that he knows keep showing up there too. He finds out from a mysterious masked woman in the dream world named Silk that they are fighting against one named Faydoom, and he is the one who provides the powers to those girls so that they can fight these monsters. And so it goes...<br><br>
(Source: Anime News Network)","Action, Comedy, Ecchi",12.0,2004-1-9,2004-3-26,55.0,4041,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/204.jpg
Samurai Champloo,Samurai Champloo,サムライチャンプルー,"Let's break it down. Mugen's a reckless sword-slinger with a style that's more b-boy than Shaolin. He's got a nasty streak that makes people want to stick a knife in his throat. Then there's Jin, a deadbeat ronin who speaks softly but carries a big blade. He runs game old-school style, but he can make your blood spray with the quickness. When these roughnecks bring the ruckus, it ain't good for anybody, especially them. Enter Fuu, the ditzy waitress who springs her new friends from a deadly jam. All she wants in return is help solving a riddle from her past. She and the boys are tracking the scent, but there's 99 ways to die between them and the sunflower samurai.<br>
<br>
(Source: Funimation)","Action, Adventure, Comedy",26.0,2004-5-20,2005-3-19,84.0,233228,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx205-7tHVFu6dPBm9.png
Lodoss-tou Senki: Eiyuu Kishi Den,Record of Lodoss War: Chronicles of the Heroic Knight,ロードス島戦記　英雄騎士伝,"Five years after the death of the Emperor of Marmo in the War of Heroes, Parn is now the Free Knight of Lodoss, he and his old allies now famous through the land. However, the Emperor's right-hand-man, Ashram, seeks the scepter of domination to re-unify Lodoss under his former leader's banner. Meanwhile, beyond his attempts at conquest lies a more sinister force beginning to set the stage for the resurrection of the goddess of death and destruction... <br><br>
(Source: Anime News Network)","Action, Adventure, Drama, Fantasy, Romance",27.0,1998-4-1,1998-9-30,67.0,6998,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx206-G9mTDCBNom5D.png
R.O.D -THE TV-,R.O.D -THE TV-,R.O.D -THE TV-,"Five years have passed since the occurrence of the incident known as the ""Human Annihilation Mission."" In Japan, a novelist is dealing with writer's block after her friend has gone missing. In Hong Kong, three sisters, masters in the use of paper, run their own detective agency to solve cases that involve books. When these people are brought together, a bond greater than blood is formed - a bond that will be sorely tested by the evil powers intent on taking over the world.<br><br>
Join Anita, Maggie, Michelle, and Nenene as they travel the globe in order to save the world from the evil mastermind, Mr. Carpenter! Of course, that's if they can find the time to put down the books they're reading...<br><br>
(Source: RightStuf)","Action, Drama, Mystery, Sci-Fi",26.0,2003-9-1,2004-3-16,76.0,12799,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx209-d0WO2JHIfzTu.png
Ranma 1/2,Ranma ½,らんま1/2," After taking a surprise dip in a cursed spring while on a training journey in China, martial artist Ranma Saotome and his father, Genma, aren't quite themselves anymore. Now Ranma turns into a girl whenever he's splashed with cold water, and Genma turns into a panda!<br>
<br>
Their new forms cause nothing but confusion at the Tendou dojo, where Soun Tendo is waiting to introduce one of his three daughters to Ranma - as his fiancee! Turns out Genma and Soun arranged the match long ago, but the girl, Akane, and the boy, Ranma, aren't exactly crazy about the idea, or each other! Or are they? Watch the gender switching, jealous rages, and martial arts battles unfold all over again!<br>
<br>
(Source: Viz Media)<br>
<br>
<i>Note: Episodes 7-9 of Ranma 1/2: Nettou-hen were originally meant to be seen between episodes 13 and 14 of this series.</i>","Action, Comedy, Ecchi, Romance, Slice of Life",18.0,1989-4-15,1989-9-16,75.0,46686,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx210-qgahLDYT0t9b.png
Kidou Senkan Nadesico,Martian Successor Nadesico,機動戦艦ナデシコ,"Akito doesn't want to fight. Despite a childhood spent on the anime Gekiganger 3, a Mecha show, he'd rather cook than pilot a Mecha. Fate intervenes when his home on Mars is destroyed, and he is transported instantly to the Earth, mysteriously. He has questions no one can answer fully, but follows a girl from a chance meeting in hopes to discover any. The girl, Yurika, is captain of the private battleship Nadesico, and in order to follow her, he enlists as their cook. Possessing the nanite implants that allow to control mechas, he's a handy backup pilot for the mechas of the Nadesico. He joins a crew bent on revenging Mars and composed of misfits, otakus, and ditzes. But in reality they are handpicked experts. They take their own private war back to Mars to face the harsh reality that life may not always be like a Giant Mecha Series.
<br><br>
(Source: Anime News Network)","Action, Comedy, Mecha, Romance, Sci-Fi",26.0,1996-10-1,1997-3-25,73.0,14238,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx218-qBfbgiJIR5rv.jpg
MEZZO,Mezzo,MEZZO -メゾ-,"Mikura, Kurokawa, and Harada are the 3 members of the Danger Service Agency (DSA). Mikura is the brawns of the group, Harada is the brains, and Kurokawa is just a bitter ex-cop that likes to think he's in charge. They'll take on any job as long as it involves lots of danger and, of course, money. If you want to live long enough to eat dinner, you better not cross them. Their biggest case, however, could prove to be finding out why someone wants Kurokawa assassinated. <br><br>
(Source: Anime News Network) ","Action, Adventure, Comedy, Mystery, Sci-Fi",13.0,2004-1-4,2004-3-28,62.0,5375,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx222-AWGEcDS0VacZ.png
Dragon Ball,Dragon Ball,ドラゴンボール,"Goku Son is a young boy who lives in the woods all alone—that is until a girl named Bulma runs into him in her search for a set of magical objects called the ""Dragon Balls."" Since the artifacts are said to grant one wish to whoever collects all seven, Bulma hopes to gather them and wish for a perfect boyfriend. Goku happens to be in possession of a dragon ball, but unfortunately for Bulma, he refuses to part ways with it, so she makes him a deal: he can tag along on her journey if he lets her borrow the dragon ball's power. With that, the two set off on the journey of a lifetime.<br>
<br>
They don't go on the journey alone. On the way, they meet the old Muten-Roshi and wannabe disciple Kuririn, with whom Goku trains to become a stronger martial artist for the upcoming World Martial Arts Tournament. However, it's not all fun and games; the ability to make any wish come true is a powerful one, and there are others who would do much worse than just wishing for a boyfriend. To stop those who would try to abuse the legendary power, they train to become stronger fighters, using their newfound strength to help the people around them along the way.<br>
<br>
(Source: MAL Rewrite)","Action, Adventure, Comedy, Fantasy, Supernatural",153.0,1986-2-26,1989-4-12,78.0,194247,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx223-scE5uJfXqqj8.png
Dragon Ball GT,Dragon Ball GT,ドラゴンボールGT,"Emperor Pilaf finally has his hands on the Black Star Dragon Balls after years of searching, which are said to be twice as powerful as Earth's normal ones. Pilaf is about to make his wish for world domination when he is interrupted by Gokuu Son. As a result, Pilaf flubs his wish and accidentally turns Gokuu back into a child.<br>
<br>
After the wish is granted, the Black Star Dragon Balls scatter across the galaxy. However, Gokuu discovers that they will cause the Earth to explode unless they are all brought back within a year. Uniting with his granddaughter Pan and a young adult Trunks, Gokuu sets off on an adventure through the universe to find the Black Star Dragon Balls and save his planet from destruction.<br>
<br>
(Source: MAL Rewrite)","Action, Adventure, Comedy, Sci-Fi",64.0,1996-2-7,1997-11-19,63.0,110981,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx225-pzkDUVy7tKxH.png
Elfen Lied,Elfen Lied,エルフェンリート,"The Diclonius, a mutated homosapien that is said to be selected by God and will eventually become the destruction of mankind, possess two horns on their heads and have a ""sixth sense"" which gives them telekinetic abilities. Due to this dangerous power, they have been captured and isolated in laboratories by the government. Lucy, a young and psychotic Diclonius, manages to break free of her confines and brutally murders most of the guards in the laboratory where she is being held, only to be shot in the head as she makes her escape. She survives, falling off a cliff into the ocean and manages to drift along to a beach where two teenagers, Kouta and Yuka, discover her. Having lost her memories, she was named after the only thing that she can now say, ""Nyuu,"" and the two allow her to stay at Kouta's home. However, it appears that the psychotic side of Lucy is not dead just yet... <br><br>
(Source: ANN - Revised)","Action, Drama, Ecchi, Horror, Psychological, Romance, Supernatural",13.0,2004-7-25,2004-10-17,68.0,231891,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx226-MibyRKhIrnTe.png
Jigoku Shoujo,Hell Girl,地獄少女,"Somewhere in the vast sea of the Internet, there's a website that can only be accessed at the stroke of midnight. Known as the Jigoku Tsushin, rumor has it that if you post a grudge there, the Jigoku Shoujo will appear and drag whoever torments you into the inferno. Very little is known about the girl - all we know for sure is that she lives with her equally enigmatic grandmother, that three magical straw dolls accompany and serve her, and that whenever a posting on the Jigoku Tsushin moves her, she becomes the Jigoku Shoujo. <br>","Drama, Horror, Mystery, Psychological, Supernatural",26.0,2005-10-5,2006-4-5,71.0,66426,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx228-J2J1CI4jfyeC.jpg
Ninin ga Shinobuden,Ninja Nonsense,ニニンがシノブ伝,"Kaede is a normal school girl who was studying for her exams for school when suddenly she is interrupted by Shinobu, a girl who is a ninja-in-training, attempting to complete her exam. The problem is, in order for her to successfully complete her exam, she must steal one of Kaede's panties!<br><br>
In Kaede's attempt to stop Shinobu from stealing her panties, an unexpected friendship is forged between the two. Kaede soon becomes engrossed in Shinobu's world, surrounded by partying ninjas and a yellow pac-man like thing by the name of Onsokumaru, who claims to be the master of all ninjas!<br><br>
[Written by MAL Rewrite]",Comedy,12.0,2004-7-10,2004-9-25,65.0,6932,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx229-9pnfDQ6gYzMr.png
Air Master,Air Master,エアマスター,"A former gymnast, Aikawa Maki has turned her skills to a different way of life&mdash;street fighting. The only thing that truly makes her feel alive is violence. With amazing power and grace, she fights opponent after opponent, repeatedly demonstrating the gymnastic talent that earns her her nom de guerre, ""Airmaster.""","Action, Adventure, Comedy",27.0,2003-4-2,2003-10-1,62.0,7093,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx230-5vY01r9G3ihu.png
Cardcaptor Sakura,Cardcaptor Sakura,カードキャプターさくら,"One day, Kinomoto Sakura, a 4th grader stumbles upon the mysterious book of Clow. Upon opening it and reading the name of The Windy aloud, Sakura scatters the cards to the winds. Sakura is elected and appointed by Keroberos, Guardian of the Cards to capture the remaining cards. With her friend Tomoyo and rival Syaoran, Sakura begins an adventure that will forever change her.","Comedy, Drama, Fantasy, Mahou Shoujo, Romance",70.0,1998-4-7,2000-3-21,80.0,87495,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx232-ERyKCNNPJJeh.png
Daa! Daa! Daa!,Daa! Daa! Daa!,だぁ! だぁ! だぁ!,"Miyu is an 8th grade girl, whose parents have been hired by NASA. They take off to America leaving Miyu with Mr. Saionji. Later, Mr. Saionji decides to go on a 1 year long trip to India leaving Miyu alone with his son, Kanata. More complications rise when an Alien baby and his babysitter pet crashes/lands in their house. To make things worse, alien baby starts calling Miyu and Kanata Mom and Dad, also showing ESP power and floating around.
<br><br>
(Source: Anime News Network)","Comedy, Sci-Fi",78.0,2000-3-28,2002-2-26,71.0,4452,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/233.jpg
Dan Doh!!,Dan Doh!!,ダンドー,"Dandoh was playing a baseball game with friends Yuka and Kohei and hits a wild fly ball which crashes into the principal's potted plants. Rather than getting mad, the principal admires Dandoh's swing and introduces him to the world of golf. It's now an adventure in golf as Dandoh is under the watchful eye of a former pro-golfer. They enter a tournament together and play for a shot at the national championships.
<br><br>
(Source: Anime News Network)","Adventure, Sports",26.0,2004-4-3,2004-9-25,59.0,1303,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/234.jpg
Meitantei Conan,Case Closed,名探偵コナン,"Kudo Shinichi is a seventeen year-old high school detective whom people call the ""Modern Sherlock Holmes."" However, one night after a date with his childhood sweetheart, Ran, Shinichi witnessed an illegal trade and, caught off his guard, was knocked unconscious and fed a drug that was supposed to kill him... but he woke up and found himself shrunken to a seven year-old. In order to track down the men who did this to him, Shinichi hid his identity and lived with Ran, whose father happened to be a hopeless detective, and with that came a series of murders and mysteries that he must solve. <br><br>
(Source: Anime News Network)
<br><br>
<i>Note:<br>
- Includes Keisatsu Gakkou-hen - Wild Police Story in episodes 1029, 1038, 1042, 1061<br>
- Episodes 11, 52, 76, 118, 162, 184, 208, 342, 356, 449, 452, 487, 488, 489, 490, 515, 516, 521, 522, 651, 734, 804, 805, 927, 928 aired with a runtime of ~50 minutes as opposed to the standard 25 minute long episode.<br>
- Episodes 96, 129, 174, 219, 263, 304, 383, 479 aired with a runtime of ~90 minutes as opposed to the standard 25 minute long episode.<br>
- Episode 345, 425 aired with a runtime of ~115 minutes as opposed to the standard 25 minute long episode.<br>
</i>","Adventure, Comedy, Mystery, Psychological",,1996-1-8,,82.0,67128,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx235-MyYT7K3chBdO.jpg
E'S OTHERWISE,E's Otherwise,E'S OTHERWISE,"The newest and deadliest weapon of the future has arrived, and it’s more powerful than ever before. The next stage of human evolution, a race of “metahumans” with powerful psychic abilities, has begun to appear on Earth. These mutants, known as the “E’s”, have the ability to convert thought to energy. A special elite force of E’s has been formed to help maintain law and order, but will these powerful psychics use their abilities to save the world, or control it?<br>
<br>
(Source: ADV Films)","Action, Drama, Sci-Fi",26.0,2003-4-1,2003-9-23,59.0,2239,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx236-cjx0M7rLnLjO.png
Koukyoushihen Eureka Seven,Eureka Seven,交響詩篇エウレカセブン,"Renton is a teenager trapped working as a mechanic in a backwater town. He dreams of joining up with a daredevil group of pilots known as Gekkostate and following in his father's heroic footsteps.<br>
<br>
When a mysterious beauty named Eureka shows up asking for a tune-up, Renton soon finds himself drawn into a high-flying mecha dogfight that makes him a target of the military. When the dust settles on the spectacular battle, Renton is invited to join Gekkostate, but he soon discovers that even a dream come true has a dark side.<br>
<br>
(Source: Funimation)","Action, Adventure, Drama, Mecha, Romance, Sci-Fi",50.0,2005-4-17,2006-4-2,77.0,76229,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx237-P1YEQQFqZ1An.jpg
Rekka no Honoo,Flame of Recca,烈火の炎,"Recca Hanabishi is a ninja, but is nearly killed in an accident. However, a girl named Yanagi heals him with her powers. Later, the two are tracked down by a woman who attacks them. She tells Recca to ignite his flame, but he is clueless. Just as she hurts Yanagi, Recca releases a powerful flame upon the woman. She is excited to see this. It turns out that Recca was a baby, from the Hokage Clan of the past, that was sent to the future in order to escape death. Now, Recca is the leader of the new Hokage Clan who must stop his half brother, Kurei, from kidnapping Yanagi.<br><br>
(Source: AniDB)","Action, Adventure",42.0,1997-7-19,1998-7-10,69.0,11241,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx238-2PeuP9kvnHVe.jpg
Gankutsuou,Gankutsuou: The Count of Monte Cristo,巌窟王,"Gankutsuou is an anime loosely based on the novel The Count of Monte Cristo by Alexandre Dumas. It tells the story of Albert Morcerf, a young aristocrat who happens to befriend a wealthy nobleman, The Count of Monte Cristo, through a series of bizarre events. Fascinated by the Count's charm, Albert invites him to meet his friends and family, all of whom happen to be part of the upper class society of Paris, France. Unfortunately, little does Albert realize that the Count has ulterior motives in mind.<br><br>
(Source: MAL Rewrite)","Drama, Mystery, Sci-Fi, Supernatural, Thriller",24.0,2004-10-6,2005-3-30,79.0,51791,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx239-eldiiZxky1Ul.png
Genshiken,Genshiken,げんしけん,"Sasahara Kanji is a college freshman who decides to join a student society to share his hidden thoughts on manga, anime and gaming.<br><br>
When he first visited Genshiken, short for ""Gendai Shikaku Bunka Kenkyuu Kai"" (Society for the Study of Modern Visual Culture), his groundless pride was destroyed by the plotting of Madarame, a sophomore student in Genshiken, but he still couldn't admit that he is an otaku.<br><br>
However, as he participates in society activities such as visiting dojin (private publishing) shops and anime festivals, and hangs out with other society members Kosaka (a hardcore otaku despite his extreme eccentricities and good looks), Kosaka's girlfriend Kasuga Saki (who isn't really an otaku), Ohno (a cosplayer) and the others, he opens his mind and resolves that he will make his way into the otaku world. With their help, Sasahara slowly adjusts to otaku life in Genshiken.<br><br>
(Source: AnimeNfo)","Comedy, Slice of Life",12.0,2004-10-10,2004-12-26,74.0,35277,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx240-YaEXxztQRFix.jpg
GIRLS Bravo: first season,Girls Bravo,GIRLSブラボー first season,"Small for his age, Yukinari has been bullied and abused by girls all his life. Now in high school, he has developed a rare condition: whenever girls touch him, or even come close, he breaks out in hives. Imagine his surprise, when he is suddenly transported to the city of Seiren on a mystic world invisibly orbiting the Earth, and populated with vast numbers of women and very few men. Fortunately, he has a new friend, Miharu-chan, whose touch inexplicably doesn't affect him.
<br><br>
(Source: Anime News Network)","Comedy, Ecchi, Romance",11.0,2004-7-5,2004-9-27,58.0,22809,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx241-8D6mfBUZBsjc.jpg
Gokusen,The Gokusen,ごくせん,"Kumiko ""Yankumi"" Yamaguchi enters Shirokin High School to become a math teacher. She's assigned as the homeroom teacher for class 2-4, populated by a gang of delinquents.  At first, the class tries everything to rattle her cage, but to no avail. In a short period of time, Yankumi gains the respect of the class. But what the school doesn't know is that she's the heir to the Oedo Group, a powerful yakuzan clan. So while Yankumi struggles to excel in her career as a teacher, she must also keep her yakuza background a secret.<br>
<br>
(Source: Media Blasters)","Comedy, Drama, Slice of Life",13.0,2004-1-6,2004-3-30,71.0,9761,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b242-gR6cc2RIa7BJ.png
Gravitation,Gravitation TV,グラビテーション,"All Shuichi ever dreamed about was following in the footsteps of his pop idol, Ryuichi Sakuma and the band Nittle Grasper. Together with his best friend Hiro, Shuichi's formed a band called Bad Luck and they've even managed to get signed to a major recording label! Unfortunately, the studio deadlines are looming and Shuichi still hasn't finished the lyrics for any of the songs. What he needs is a little inspiration... but he's been running a little low in that department lately. While Hiro recommends finding a girlfriend, fate has other things in store for him...<br><br>
Walking through the park late one night, Shuichi's latest lyrics flutter away and land at the feet of a stunning stranger that takes his breath away. Unfortunately, that mysterious stranger happens to be the famous novelist Eiri Yuki, who completely crushes the young singer by telling him he has ""zero talent"". Now, Shuichi's so annoyed that he's managed to finish his song just so he can find and confront Yuki once again. But, are his actions really motivated by anger, or has he actually fallen in love? <br><br>
(Source: RightStuf)","Comedy, Music, Romance",13.0,2000-10-4,2001-1-10,62.0,14486,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/243.jpg
Agatha Christie no Meitantei Poirot to Marple,Agatha Christie's Great Detectives Poirot and Marple,アガサ・クリスティーの名探偵ポワロとマープル,"Young Mabel West is the daughter of mystery writer Raymond West, who wants her to lead a normal life. Rebelling against this, Mabel wants to be a great detective, and sets out for London to become assistant to none other than Hercule Poirot, the great Belgian detective who resides there. She finally wins the reluctant approval of her father, and embarks on an exciting life of mystery and suspense - his only demand being that she occasionally spend some time with her great-aunt, Jane Marple, in the small village of St. Mary Mead. <br>",Mystery,39.0,2004-7-4,2005-5-15,61.0,1789,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx244-qrV2TOPYZUIN.png
GTO,GTO: Great Teacher Onizuka,GTO,"Onizuka is a reformed biker gang leader who has his sights set on an honorable new ambition: to become the world's greatest teacher... for the purpose of meeting sexy high school girls. Okay, so he's mostly reformed.<br><br>
However, strict administrators and a class of ruthless delinquents stand between Onizuka and his goal and they will use any means, however illegal or low, to drive the new teacher away. Perfect, because Onizuka's methods won't be found in any teaching manual; he cares about the difference between legal and illegal activities about as much as he cares for the age difference between himself and a high school girl.<br><br>
So get ready for math that doesn't add up, language you'd be slapped for using, and biology that would make a grown man blush... unless of course, you're the Great Teacher Onizuka.<br><br>

<i> Note: Episode 1 has an airtime of 48 minutes.</i>","Comedy, Drama, Slice of Life",43.0,1999-6-30,2000-9-24,84.0,143613,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx245-NcQAyTipUMeO.jpg
GROOVE ADVENTURE RAVE,Rave Master,GROOVE ADVENTURE RAVE,"Fifty years ago, an epic war raged between the forces of light and shadow, ending with an explosion that scattered the light's precious Rave Stones. Now, young Haru Glory, the new Rave Master, must uncover these legendary Rave Stones, the only force powerful enough to defeat the evil of the Shadow Stones. Armed with the magical Decaforce Sword, Haru joins forces with Elie, a spunky girl with a hidden past, and a lovable creature named Plue. Together they attempt to unlock the secret to their destiny. It is a journey of heroism and self-discovery. It is the adventure of a lifetime.<br>
<br>
(Source: Tokyopop)","Adventure, Comedy, Fantasy, Romance",51.0,2001-10-13,2002-9-28,67.0,17339,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx246-xhP6u3tih2Wc.jpg
Harukanaru Toki no Naka de: Hachiyou Shou,Haruka: Beyond the Stream of Time – A Tale of the Eight Guardians,遙かなる時空の中で〜八葉抄〜,"Akane Motomiya and her friends Tenma and Shimon are pulled by a demon into another world, where Akane becomes the Priestess of the Dragon God. The people of this world tell her that she is the only one who can stop the demons from taking over; meanwhile, the demons want to use her power for their own ends. Luckily, Akane has the Hachiyou, eight men with powers of their own who are sworn to protect the Dragon Priestess.<br><br>
(Source: Anime News Network)","Drama, Fantasy",26.0,2004-10-6,2005-3-30,64.0,3384,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx247-XBzo0yex3xbG.png
Ichigo 100%,Strawberry 100%,いちご100%,"One day, Manaka Junpei walks to the roof of his school and encounters a beautiful girl falling down from above him and accidentally exposing her strawberry panties. The embarrassed girl runs away before Junpei can find out whom she is. He wishes to become a filmmaker, and this whole experienced seemed like it would make the perfect scene in a movie. And so he goes on a search for the girl with the strawberry panties in order to reenact it all on film. But he will soon discover that finding that one girl will not be that easy...
<br><br>
(Source: Anime News Network)","Comedy, Ecchi, Romance",12.0,2005-4-6,2005-6-22,62.0,17199,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/248.jpg
Inuyasha,InuYasha,犬夜叉,"Kagome Higurashi, an average ninth grader, gets pulled into an ancient well by a demon, bringing her 500 years in the past to the feudal era. There, she meets Inuyasha, a half-demon who seeks the Shikon Jewel to make himself a full-fledged demon. With Inuyasha and new friends, Kagome's search for the Jewel of Four Souls begins...<br>
<br>
(Source: Viz Media)","Action, Adventure, Comedy, Fantasy, Romance",167.0,2000-10-16,2004-9-13,76.0,148351,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx249-jVBkyLnBvnRE.png
Konjiki no Gash Bell!!,Zatch Bell!,金色のガッシュベル!!,"Takamine Kiyomaro, a depressed don't-care-about-the-world guy, was suddenly given a little demon named Gash Bell to take care of. Little does he know that Gash is embroiled into an intense fight to see who is the ruler of the demon world. All of the demons have to pick a master on Earth and duke it out with other demons until one survives. Needless to say, Kiyomaro becomes Gash's master, and through their many battles, Kiyomaro learns the importance of friendship and courage. ","Adventure, Comedy, Supernatural",150.0,2003-4-6,2006-3-26,72.0,24553,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b250-w0c2KefXfW2i.png
Kyou kara Maou!,Kyo Kara Maoh! - God (?) Save Our King!,今日からマ王！,"Yuri Shibuya was living a pretty normal life. That changed the day he was dunked into a toilet after an attempt to save a classmate from a gang of bullies. Instead of just getting a good soaking, he's pulled in. The next thing he knows, he's in a world that vaguely resembles medieval Europe. If that's not odd enough, he's told that he is to be the next Maoh, just because he has black hair and black eyes. The Maoh is the King of the Mazoku, who are coexisting not-so-peacefully with the humans in this world. Much to his subjects' dismay, he's totally different from the rulers they're accustomed to. He's kind, considerate, a believer in justice, and not willing to use violence to solve conflicts. Not exactly someone they want running a country on the very brink of war. Now, Yuri has to deal with trying to become a good Maoh, while at the same time attempting to adapt to this lands' customs and culture, all in a world where the tension between the humans and Mazoku is reaching its peak.
<br><br>
(Source: Anime News Network)","Adventure, Comedy, Fantasy",78.0,2004-4-3,2006-2-25,70.0,16430,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx251-Ayui0ECuDPEe.png
Madlax,Madlax,マドラックス,"In the country of Gazth-Sonika, civil war rages. There, a mercenary called Madlax plies her trade, with almost supernatural skill. In the seemingly peaceful country of Nafrece, Margaret Burton lives a tranquil life. As separate as their lives may seem, the two are connected by ties of mystery, and by a holy book that is also sought by the shadowy organisation, Anfan. As Margaret and Madlax follow the path of their destiny, they come ever closer to uncovering the truth - with no guarantee that it is a truth they can bear to learn.
<br><br>
(Source: Anime News Network)","Action, Drama, Mystery, Psychological, Supernatural",26.0,2004-4-5,2004-9-27,72.0,9274,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx252-VPLN6O7v18RC.png
Jungle wa Itsumo Hare nochi Guu,Haré+Guu,ジャングルはいつもハレのちグゥ,"Har&eacute; was a happy boy living out his days in the jungle with his mother, but then one day Guu showed up and became a member of their household. Throughout the series he faces many hardships as he tries to keep Guu out of trouble in the jungle.
<br><br>
(Source: Anime News Network)",Comedy,26.0,2001-4-3,2001-9-25,73.0,6440,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/253.jpg
